id,unitname,key1,key2,key3,key4,key5,key6,key7,key8,key9,key10,key11,key12,key13,key14,key15,key16,key17,key18,key19,key20,key21,key22,key23,key24,key25,key26,key27,key28,key29,key30,key31,key32,key33,key34,key35,key36,key37,key38,key39,key40,key41,key42,key43,key44,key45,key46,key47,key48,key49,key50,key51,key52,key53,key54,key55,key56
101,“闪电公爵”伊蕾娜,default,atk_Strike,dull,happy,sad,atk_Strike_1,move,change,stage2,atk_rotate,atk_rotate1,atk45,atk45_1,atk135,atk135_1,atk1,atk1_1,atk1_atking,atk2_atking,atk2,atk2_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,大大嘴花,default,atk1,dull,happy,sad,atk1_1,atkEat,atkEatUp,atkEatDown,atk_eat,atk_eat_1,atk_eatup,atk_eatup_1,atk_eatdown,atk_eatdown_1,shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,“闪电公爵”伊蕾娜,default,atk_Strike,dull,atk_Strike_1,move,atk_rotate,atk_rotate1,change,dead,deadAtk,atk1,atk1_1,atk1_atking,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,史莱姆大胖,default,atk1,dull,happy,sad,move,atk1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,史莱姆中胖,default,atk1,dull,happy,sad,move,atk1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,史莱姆小胖,default,atk1,dull,happy,sad,move,atk1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,“黑龙女皇”赫利娅,default,idle,fly,atk1,atk1_1,atk1_atking,atkCenterFire,atkCenterFire_1,atkCenterFire_2,atkCenterFire_atking,atkSpawnFire,atkSpawnFire_1,atkSpawnFire_atking,move,atkSpawn,defeated,atk_fly,atkWall,atkWall_1,atkwall_atking,dull,book,happy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,小克之眼,default,atk1,dull,move,atk1_1,atklayser,atklayser1,atk_eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,鱼维坦,default,body1,body2,body3,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,鱼维坦,default,body1,body2,body3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,露露,default,atk1,sad,move,happy,shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,史莱姆王,default,atk1,sad,move,dull,happy,shock,embarrass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,大大嘴花,default,atk1,dull,happy,sad,atk1_1,atkEat,atkEatUp,atkEatDown,atk_eat,atk_eat_1,atk_eatup,atk_eatup_1,atk_eatdown,atk_eatdown_1,shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,“黑龙女皇”赫利娅,default,atk1,atk1_1,atk1_atking,move,atk_fly,atk_yell,change,atkSpawnFire,atkSpawnFire_1,atkSpawnFire_atking,atkCenterFire_1,atkCenterFire,atkSpawn,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,“闪电公爵”伊蕾娜,default,atk_Strike,dull,happy,sad,atk_Strike_1,move,change,stage2,atk_rotate,atk_rotate1,atk45,atk45_1,atk135,atk135_1,atk1,atk1_1,atk1_atking,atk2_atking,atk2,atk2_1,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,恶魔商人,default,flash,atk1,atk_fly,atkScythe,atkScythe_1,atkScythe_atking,atk1_1,atk8,atk8_1,dull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,恶魔商人分身,default,flash,atk1,atk_fly,atkScythe,atkScythe_1,atkScythe_atking,atk1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,蜘蛛女王,default,atk1,move,atk1_1,atkSpawn,shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,魔王之躯,default,atk1,atk1_1,atk1_atking,atk_fly,move,change,dead0,dead1,dead2,dead3,dead4,dead5,dead6,dead7,dead8,dead9,atkSpawn,atkSpawn_1,spawnBullet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,魔王之躯,default,atk_fly,atk1_fake,atk1,atk1_atking,atk2,atk2_atking,atk3,atk3_atking,atk5,atk5_atking,atk5_1,atkSpawn,spawnBullet,change,happy,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,魔神剑,default,book,change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,幽灵女皇,default,atkJump,move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,史莱姆国王,default,atk1,atk1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,年兽,default,atk1,atk1_1,atkJump,atkJump_1,jumping,move,change,shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,年兽真身,default,atk1,atk1_1,atkJump,atkJump_1,jumping,move,atk_droping,shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,弓箭,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,炸弹,default,atk1,atk2,atk3,atk4,atk5,atk6,atk7,unActive,unActive_auto,default_auto,atk1_auto,atk2_auto,atk3_auto,atk4_auto,atk5_auto,atk6_auto,atk7_auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,苹果,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,金币,default,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,蝙蝠,default,fatBat,fatBat2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,闪电,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Unit_206,default,atk1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Unit_207,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Unit_208,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,鱼尾身躯,default,spriteCorner,fishTile,fishTile2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,灵魂,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,骨头,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,睡觉,default,card212,card213,card214,card215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,召唤,default,card212,card213,card214,card215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,攻击,default,card212,card213,card214,card215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,回血,default,card212,card213,card214,card215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,钥匙,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,黑闪,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,黑龙角,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,地雷炸弹,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,连弩子弹,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,豆子,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,燃烧符号,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,烤苹果,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,魔石,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,冰球,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,飞镖,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,冰冻飞镖,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,魔法球,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,火焰,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,火球,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,爆炸冰,default,freeze1,freeze2,freeze3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,魔神剑气,default,atk1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Unit_233,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Unit_234,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Unit_235,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Unit_236,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,电磁硬币,default,atklayser_1,atklayser_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,弹幕,default,happy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,回血弹幕,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,魔神剑气,default,atk1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,金币堆,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,灵魂堆,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,“勇者”兰,default,atk1,atk1_1,atk1_atking,atk_rotate,atk_rotate1,parry,atkJump,atkJump_1,jumping,atk_Strike,atk_Strike_1,change,move,dull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,“勇者”兰,default,atk1,atk1_1,atk1_atking,atk_rotate,atk_rotate1,parry,atkJump,atkJump_1,jumping,atk_Strike,atk_Strike_1,change,move,dull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,“勇者”兰,default,atk1,atk1_1,atk1_atking,atk_rotate,atk_rotate1,parry,atkJump,atkJump_1,jumping,atk_Strike,atk_Strike_1,change,move,dull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,“勇者”兰,default,atk1,atk1_1,atk1_atking,atk_rotate,atk_rotate1,parry,atkJump,atkJump_1,jumping,atk_Strike,atk_Strike_1,change,move,dull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,树,default,broken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,箱子,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,道具包,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,水面,default,up,down,left,right,up&down,up&down&left,self,up&down&right,up&right,up&left,up&left&right,down&left,down&right,down&left&right,left&right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,告示牌,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,洞穴墙壁,default,broken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,石头雕像,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,夜光蘑菇,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,紫宝箱,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,金宝箱,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,红宝箱,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,滚石,default,rocking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,火盆,default,dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,隐藏树,default,broken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,隐藏墙,default,broken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,问号砖块,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,解谜按钮,default,pressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,木门,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,喷泉,default,atk1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,冰墙,default,broken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,冰面,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,SL按钮,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,无限花菜,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,冰封小兵,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,一笔画按钮,default,pressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,魔神墙,default,broken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
